java_file,hsv
/javascriptv3/example_code/reactnative/ReactNativeApp/android/app/src/release/java/com/reactnativeapp/ReactNativeFlipper_initializeFlipper_0.java,44.973
/javascriptv3/example_code/reactnative/ReactNativeApp/android/app/src/debug/java/com/reactnativeapp/ReactNativeFlipper_initializeFlipper_0.java,1196.882
/javascriptv3/example_code/reactnative/ReactNativeApp/android/app/src/main/java/com/reactnativeapp/MainApplication_getReactNativeHost_0.java,34.869
/javascriptv3/example_code/reactnative/ReactNativeApp/android/app/src/main/java/com/reactnativeapp/MainActivity_getMainComponentName_0.java,43.185
/javascriptv3/example_code/reactnative/ReactNativeApp/android/app/src/main/java/com/reactnativeapp/MainApplication_onCreate_1.java,203.131
/javascriptv3/example_code/reactnative/ReactNativeApp/android/app/src/main/java/com/reactnativeapp/MainActivity_createReactActivityDelegate_1.java,113.3
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_getId_1.java,39.863
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_setFirst_6.java,51.891
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/ScanEmployees_getDate_2.java,629.751
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_getStartDate_3.java,39.863
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_getPhone_5.java,39.863
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_setId_0.java,53.774
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_setPhone_4.java,51.891
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/ScanEmployees_sendEmployeMessage_0.java,1918.114
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_setStartDate_2.java,51.891
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/Employee_getFirst_7.java,39.863
/javav2/usecases/creating_scheduled_events/src/main/java/com/aws/example/ScanEmployees_sentTextMessage_1.java,541.783
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/Label_getImages_4.java,55.507
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/LabelCount_setCount_5.java,46.507
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/LabelCount_getName_3.java,39.863
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/Label_getCount_2.java,39.863
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/DynamoDBService_checkLabelExists_3.java,331.931
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/S3Service_signObjectToDownload_6.java,785.335
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/S3Service_putObject_3.java,432.434
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/SnsService_subTextSNS_2.java,629.751
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/DynamoDBService_getClient_0.java,98.991
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/SnsService_createNotificationTopic_1.java,528.316
/javav2/usecases/pam_source_files/src/main/java/com/example/photo/services/S3Service_checkS3ObjectDoesNotExist_5.java,546.993
